DATE;PX_LAST
1987-01-01;98.58
1987-01-02;97.8
1987-01-05;98.6
1987-01-06;99.19
1987-01-07;98.96
1987-01-08;97.87
1987-01-09;96.31
1987-01-12;97.54
1987-01-13;96.78
1987-01-14;97.14
1987-01-15;98.1
1987-01-16;98.11
1987-01-19;97.33
1987-01-20;97.14
1987-01-21;97.02
1987-01-22;97.44
1987-01-23;98.28
1987-01-26;97.02
1987-01-27;96.77
1987-01-28;93.93
1987-01-29;94.83
1987-01-30;96.03
1987-02-02;95.14
1987-02-03;94.05
1987-02-04;93.88
1987-02-05;93.21
1987-02-06;93.98
1987-02-09;94.38
1987-02-10;93.67
1987-02-11;93.45
1987-02-12;93.73
1987-02-13;93.93
1987-02-16;94.36
1987-02-17;93.36
1987-02-18;93.2
1987-02-19;94.09
1987-02-20;94.39
1987-02-23;93.92
1987-02-24;93.94
1987-02-25;93.34
1987-02-26;93.75
1987-02-27;94.08
1987-03-02;94.3
1987-03-03;93.65
1987-03-04;94.83
1987-03-05;95.36
1987-03-06;95.24
1987-03-09;95.51
1987-03-10;94.82
1987-03-11;94.21
1987-03-12;94.83
1987-03-13;95.06
1987-03-16;95.29
1987-03-17;94.54
1987-03-18;95.22
1987-03-19;94.02
1987-03-20;94.6
1987-03-23;95.61
1987-03-24;96.28
1987-03-25;96.53
1987-03-26;97.16
1987-03-27;98.13
1987-03-30;97.66
1987-03-31;96.88
1987-04-01;98.21
1987-04-02;98.59
1987-04-03;98.8
1987-04-06;99.83
1987-04-07;99.2
1987-04-08;98.91
1987-04-09;98.94
1987-04-10;98.1
1987-04-13;97.38
1987-04-14;97.91
1987-04-15;98.57
1987-04-16;99.33
1987-04-17;99.36
1987-04-20;99.18
1987-04-21;98.84
1987-04-22;99.83
1987-04-23;99.64
1987-04-24;99.09
1987-04-27;97.12
1987-04-28;97.65
1987-04-29;98.09
1987-04-30;97.84
1987-05-01;97.84
1987-05-04;97.81
1987-05-05;97.16
1987-05-06;97.46
1987-05-07;97.63
1987-05-08;97.56
1987-05-11;98.07
1987-05-12;97.16
1987-05-13;97.53
1987-05-14;97.43
1987-05-15;95.4
1987-05-18;95.52
1987-05-19;95.2
1987-05-20;94.22
1987-05-21;93.95
1987-05-22;94.23
1987-05-25;94.2
1987-05-26;95.07
1987-05-27;95.68
1987-05-28;95.67
1987-05-29;95.31
1987-06-01;95.8
1987-06-02;94.74
1987-06-03;94.59
1987-06-04;94.94
1987-06-05;94.41
1987-06-08;94.49
1987-06-09;94.3
1987-06-10;93.81
1987-06-11;94.67
1987-06-12;94.79
1987-06-15;95.89
1987-06-16;96.69
1987-06-17;96.55
1987-06-18;96.35
1987-06-19;97.18
1987-06-22;98.19
1987-06-23;98.88
1987-06-24;97.59
1987-06-25;97.9
1987-06-26;98.54
1987-06-29;98.59
1987-06-30;98.11
1987-07-01;97.3
1987-07-02;98.24
1987-07-03;99.69
1987-07-06;99.55
1987-07-07;99.27
1987-07-08;99.92
1987-07-09;99.57
1987-07-10;99.73
1987-07-13;99.72
1987-07-14;100.21
1987-07-15;100.48
1987-07-16;100.8
1987-07-17;101.62
1987-07-20;102.04
1987-07-21;101.62
1987-07-22;101.33
1987-07-23;100.8
1987-07-24;101
1987-07-27;101.37
1987-07-28;101.96
1987-07-29;102.8
1987-07-30;103.76
1987-07-31;103.44
1987-08-03;103.67
1987-08-04;103.33
1987-08-05;103.06
1987-08-06;103.5
1987-08-07;103.55
1987-08-10;103.07
1987-08-11;102.08
1987-08-12;103.16
1987-08-13;103.08
1987-08-14;103.42
1987-08-17;103.24
1987-08-18;102.47
1987-08-19;101.55
1987-08-20;102.58
1987-08-21;102.82
1987-08-24;102.1
1987-08-25;102.02
1987-08-26;102.31
1987-08-27;102.69
1987-08-28;103.05
1987-08-31;103.39
