Date;MICROSOFT;SANDP;CPI;INDPPI;M1SUPPLY;CCREDIT;BMINUSA;USTB3M;USTB10Y
1986-03-01;0.095486;238.899994;108.8;56.5414;624.3;606.799;1.5;6.76;7.78
1986-04-01;0.111979;235.520004;108.6;56.5654;647;614.3669;1.4;6.24;7.3
1986-05-01;0.121528;247.350006;108.9;56.685;645.7;621.9152;1.2;6.33;7.71
1986-06-01;0.106771;250.839996;109.5;56.4959;662.8;627.891;1.21;6.4;7.8
1986-07-01;0.098958;236.119995;109.5;56.8096;673.4;633.6083;1.28;6;7.3
1986-08-01;0.098958;252.929993;109.7;56.7348;678.4;640.5126;1.46;5.69;7.17
1986-09-01;0.09809;231.320007;110.2;56.8483;684.5;649.888;1.31;5.35;7.45
1986-10-01;0.134549;243.979996;110.3;57.1179;692.2;656.736;1.38;5.32;7.43
1986-11-01;0.172743;249.220001;110.4;57.3826;708.8;656.898;1.39;5.5;7.25
1986-12-01;0.167535;242.169998;110.5;57.8627;739.8;666.355;1.48;5.68;7.11
1987-01-01;0.253906;274.079987;111.2;57.6873;737.1;655.3281;1.36;5.58;7.08
1987-02-01;0.266493;284.200012;111.6;58.4361;717.1;648.0779;1.27;5.75;7.25
1987-03-01;0.335938;291.700012;112.1;58.5202;723.1;644.317;1.25;5.77;7.25
1987-04-01;0.361111;288.359985;112.7;58.8852;752;651.1136;1.19;5.82;8.02
1987-05-01;0.400174;290.100006;113.1;59.2656;739.3;654.3924;1.18;5.85;8.61
1987-06-01;0.354167;304;113.5;59.5423;743.8;660.313;1.2;5.85;8.4
1987-07-01;0.326389;318.660004;113.8;59.956;746.2;665.7082;1.19;5.88;8.45
1987-08-01;0.412326;329.799988;114.4;60.4517;744.2;673.7394;1.13;6.23;8.76
1987-09-01;0.460069;321.829987;115;60.6087;744.5;679.637;1.13;6.62;9.42
1987-10-01;0.345486;251.789993;115.3;61.4886;753.2;683.7101;1.1;6.35;9.52
1987-11-01;0.310764;230.300003;115.4;61.8151;755.5;687.8179;1.22;5.89;8.86
1987-12-01;0.376736;247.080002;115.4;62.1113;765.4;698.64;1.18;5.96;8.99
1988-01-01;0.387153;257.070007;115.7;62.1393;764.2;695.2348;1.19;6;8.67
1988-02-01;0.412326;267.820007;116;62.41;744.5;692.5103;1.22;5.84;8.21
1988-03-01;0.392361;258.890015;116.5;62.5464;751.6;693.732;1.18;5.87;8.37
1988-04-01;0.378472;261.329987;117.1;62.8992;777.9;700.6261;1.23;6.08;8.72
