month,smb,hml,umd,rf,rm,rmrf,SL,S2,S3,S4,SH,S2L,S22,S23,S24,S2H,M3L,M32,M33,M34,M3H,B4L,B42,B43,B44,B4H,BL,B2,B3,B4,BH
1980m10,3.64e-05,-0.07261682,0.04129683,0.0112461011,0.060244985,0.04899888,0.10963296,0.01728193,0.01827622,0.02002338,0.00673496,0.03797587,0.02299749,0.05034991,0.00514033,-0.00087129,0.13312906,0.04427433,0.0269184,0.00716288,0.01952032,0.03432744,0.03433827,0.01852468,0.04037612,0.00474281,0.10403843,0.04073023,0.01084411,0.03114286,-0.0036169
1980m11,0.00616493,-0.01852717,0.00696386,0.0102016858,0.008132894,-0.00206879,0.05231163,0.00394497,0.00365049,0.00506756,-0.01339698,0.03726507,-0.03621898,0.00848754,0.00992685,-0.02257712,0.03378961,0.02553562,-0.02092515,0.01459629,-0.01088931,0.01475155,-0.00865355,0.02020149,-0.04136684,-0.01879735,-0.00019432,0.00144108,0.00520548,-0.0041792,0.00807817
1980m12,0.00235637,-0.00167116,0.01586914,0.0102521974,-0.0440981129,-0.05435031,-0.05788549,-0.01929734,-0.03239645,-0.03112441,-0.03814996,-0.06118556,-0.02910417,-0.00411264,-0.05078916,0.01206351,0.0029966,-0.0277216,-0.08075037,-0.05830223,-0.06746149,-0.00981359,-0.03925303,-0.00568929,-0.05444561,-0.04145598,-0.03884479,-0.09237823,-0.0200111,-0.02769565,-0.04054715
1981m1,0.02026328,0.00562219,0.01424536,0.0099491671,-0.005982036,-0.0159312,0.10536964,-0.00617673,0.01280203,0.00758665,0.01747468,-0.00167897,0.03300473,0.0050901,0.06403209,-0.03202836,0.00675108,-0.01996107,0.02304009,0.02491318,0.01642505,-0.01395091,0.00886923,-0.02325445,-0.00412717,-0.08926409,-0.02783634,-0.0207948,0.02066465,0.00224719,0.01869098
1981m2,-0.00805504,0.02221654,0.00608652,0.0091751695,0.0577034485,0.04852828,0.06037581,0.04580059,0.0593575,0.04301004,0.06097936,0.04709599,0.03830234,0.11220492,0.06144827,0.09462105,0.0440402,0.06284242,0.0812945,0.09021098,0.14699385,0.04445344,0.09702143,0.07474778,0.12669889,0.09398703,0.08629665,0.04679378,0.08731702,0.06159565,0.05515428
1981m3,0.04768562,-0.01117393,0.02115283,0.0091331213,0.0232665396,0.01413342,0.07971028,0.09283384,0.06033563,0.06477598,0.07943047,0.11506341,0.11894223,0.08918041,0.1181183,0.03236348,0.09613325,0.08454211,0.09936447,0.08340236,0.08974286,0.0620165,0.06217552,0.0556533,0.05792548,0.06173997,0.02845023,0.05322233,0.04093163,0.0357528,0.0338995
1981m4,-0.00988139,0.07669707,-0.0683694,0.0089229074,0.077022185,0.06809928,0.05591869,0.05053737,0.08876128,0.09177009,0.11452248,0.02649081,0.10686584,0.06942882,0.08953785,0.11777884,0.0091017,0.09631649,0.08982076,0.09171872,0.12265603,0.07707954,0.05344917,0.0748523,0.13310473,0.1687146,0.04666758,0.08012466,0.09699769,0.08833205,0.13048335
1981m5,0.04444705,-0.01160645,0.02243358,0.0090742572,-0.0452445088,-0.05431877,-0.00412289,-0.00442877,6.093e-05,0.00501568,0.00488761,-0.02982581,0.01476868,0.00510741,0.00842565,-0.0386216,-0.01821495,-0.03582567,-0.03082708,-0.03605483,-0.04103824,-0.02008042,-0.0337497,-0.04545656,-0.08260852,-0.09053642,-0.0338652,-0.07495663,-0.0635164,-0.05733271,-0.07611775
1981m6,-0.01701435,-0.02613062,0.07177751,0.0093938478,0.0206095029,0.01121566,0.05938324,0.00960885,-0.00734851,0.02044901,0.00701786,0.00512933,-0.00519481,-0.01783365,-0.01342663,-0.04533752,0.03969529,-0.00868185,-0.00574148,0.01674419,-0.04401821,0.03376779,-0.02080355,0.01517181,-0.00302625,-0.00746678,0.02690922,0.00719217,0.06185912,0.00726143,-0.00750251
1981m7,0.01027925,-0.01840889,0.01390542,0.0108332592,0.0011006052,-0.00973265,0.00757457,-0.02638669,-0.01379676,-0.01113795,0.00221644,0.0061648,-0.02210033,-0.02395503,-0.00211906,0.00657623,0.00548975,-0.02091799,-0.02227429,0.01134931,-0.00348094,-0.03580584,-0.01294334,-0.02668883,-0.03908751,0.00882456,0.01298102,0.03930282,-0.03698938,-0.01937775,-0.05739001
1981m8,-0.0240125,0.00406842,0.02667275,0.0103784864,0.0523228923,0.04194441,0.03985328,0.02806081,0.0378887,0.02887584,0.03930927,0.04377226,0.06075259,0.02826911,0.03058967,0.04281883,0.02927049,0.03557571,0.04918467,0.05049986,0.05493773,0.03301978,0.04079988,0.05705311,0.07494206,0.08897653,0.06856242,0.07852878,0.0571076,0.07789636,0.0455956
